country,genre,song name,artist,rating,album_url,track_id
angola,rock,saudade,instinto primario,7.5,https://cdn-images.dzcdn.net/images/cover/5a2fc93f29f714161827ce2466534b8b/250x250-000000-80-0-0.jpg,2130947457
angola,metal,o ser,m'vula,,,
antarctica,indie rock,how many people,nunatuk,6.5,,
argentina,indie rock,ratas,homogenica,7.0,https://cdn-images.dzcdn.net/images/cover/8a2531ad9ef62dff7d94a5970e235498/250x250-000000-80-0-0.jpg,2670586682
argentina,indie rock,turista,homogenica,8.0,https://cdn-images.dzcdn.net/images/cover/8a2531ad9ef62dff7d94a5970e235498/250x250-000000-80-0-0.jpg,2670586652
argentina,indie rock,animales,homogenica,8.0,https://cdn-images.dzcdn.net/images/cover/8a2531ad9ef62dff7d94a5970e235498/250x250-000000-80-0-0.jpg,2670586672
argentina,indie rock,bichos,homogenica,8.5,https://cdn-images.dzcdn.net/images/cover/8a2531ad9ef62dff7d94a5970e235498/250x250-000000-80-0-0.jpg,2670586662
argentina,indie rock,somniferos,no te me enojes,7.5,https://cdn-images.dzcdn.net/images/cover/5aa451b9d00609eab7049ee9f8b951fb/250x250-000000-80-0-0.jpg,3111677501
argentina,indie rock,paraisos mentales,marchitorial,7.5,https://cdn-images.dzcdn.net/images/cover/9ca7145143647548903c21fa29f113a2/250x250-000000-80-0-0.jpg,2821074652
argentina,noise rock,solo un momento,sunlid,8.5,https://cdn-images.dzcdn.net/images/cover/6666f925fd875ba09dcbfcaf93f30002/250x250-000000-80-0-0.jpg,2988322011
argentina,rock,amigo del alma,juan y la suya,7.8,https://cdn-images.dzcdn.net/images/cover/5e49cfc3756fc7256839148fcb1d3421/250x250-000000-80-0-0.jpg,3305938631
argentina,indie rock,blood of my blood,jonabug,8.0,https://cdn-images.dzcdn.net/images/cover/ca758eb1d9ffd0331aafc2a93a1a9856/250x250-000000-80-0-0.jpg,2364343295
argentina,rock,ya nada es igual,sunlid,,https://cdn-images.dzcdn.net/images/cover/6666f925fd875ba09dcbfcaf93f30002/250x250-000000-80-0-0.jpg,2988321971
armenia,rock,the noise is a scream,clocker,6.0,https://cdn-images.dzcdn.net/images/cover/94302d493af6bef3cc053b221711ad95/250x250-000000-80-0-0.jpg,417835702
aruba,indie rock,stomp,the revoir,8.5,https://cdn-images.dzcdn.net/images/cover/fa7e7fed1dc3385dfae9419d495aaa15/250x250-000000-80-0-0.jpg,2422836295
australia,indie rock,zoom,last dinosaurs,10.0,https://cdn-images.dzcdn.net/images/cover/1e500063a8979afefaba123b68ad4b42/250x250-000000-80-0-0.jpg,16578033
australia,indie rock,weekend,last dinosaurs,8.0,https://cdn-images.dzcdn.net/images/cover/1e500063a8979afefaba123b68ad4b42/250x250-000000-80-0-0.jpg,16578040
austria,experimental rock,acting moderate,killed by 9v batteries,9.0,https://cdn-images.dzcdn.net/images/cover/2a537a3534339370da26a66122701a24/250x250-000000-80-0-0.jpg,1779933577
bangladesh,alternative,sheishob din raatri,karnival,8.5,https://cdn-images.dzcdn.net/images/cover/87889d3931b63406d88b322b4cb05e4c/250x250-000000-80-0-0.jpg,947464842
belarus,alt rock,Дажджамі,Бяз Назвы ,7.5,,
belgium,emo,witching hour,feverchild,10.0,https://cdn-images.dzcdn.net/images/cover/496411b9698110635aaf8a0eefb06fc2/250x250-000000-80-0-0.jpg,2360640275
belgium,shoegaze,glow,slow crush,8.0,https://cdn-images.dzcdn.net/images/cover/2137f965afecc021bc5e5ed769b82380/250x250-000000-80-0-0.jpg,1082550292
belgium,emo,hotellounge ( be the death of me),deus,,https://cdn-images.dzcdn.net/images/cover/6869d9be4d25dc505d7fbc7358851789/250x250-000000-80-0-0.jpg,1935650607
bolivia,indie rock,hickey,bloodshock,8.5,,
bolivia,rock,histeria,llegas,7.0,https://cdn-images.dzcdn.net/images/cover/409916d63819e69f07379cde968fa72d/250x250-000000-80-0-0.jpg,110057038
botswana,noise rock,shooters,internet key,9.0,https://cdn-images.dzcdn.net/images/cover/7cd9366d7dce5fbea60f2a07d9ade577/250x250-000000-80-0-0.jpg,3004118041
botswana,noise rock,bathroom wall,internet key,8.0,https://cdn-images.dzcdn.net/images/cover/ba7a41e3b0a5aad70fb88bc30a7d4497/250x250-000000-80-0-0.jpg,2963259041
botswana,noise rock,i could cut out my veins,internet key,8.8,https://cdn-images.dzcdn.net/images/cover/d30cf7a21ecc15f7787a385e66a17d7d/250x250-000000-80-0-0.jpg,2827834052
brazil,punk,empina o fuzil // power trip,isotopxs,8.0,https://cdn-images.dzcdn.net/images/cover/6e7f2367078f92f4f4a369420b49cc0b/250x250-000000-80-0-0.jpg,2724464472
brazil,indie/garage rock,fotos de uma arvore que nao parace bem,micondria,8.0,,
brazil,indie rock,i luv u franklyn,glover.,7.0,https://cdn-images.dzcdn.net/images/cover/c13f650d3e8366bba50ec8a2cbae2c51/250x250-000000-80-0-0.jpg,1534416762
brazil,experimental rock,playboy,pusher174,7.0,https://cdn-images.dzcdn.net/images/cover/4f2e8f218c1492f0936c9ae85e03fcdd/250x250-000000-80-0-0.jpg,3557770241
brazil,shoegaze,de areia e sal,sonhos tomam conta,6.0,https://cdn-images.dzcdn.net/images/cover/4db3fcc0e3a63758ce418443061a30f7/250x250-000000-80-0-0.jpg,2715134502
brazil,shoegaze,hear a whisper,"terraplana, winter",8.0,https://cdn-images.dzcdn.net/images/cover/a35ba72c2ff1ff70f8a7a1330e5217b2/250x250-000000-80-0-0.jpg,3190780191
brazil,indie rock,germaboys | a crise do prensado,quem e voce alice,8.0,https://cdn-images.dzcdn.net/images/cover/00efd572fdd1a338ecce31aaeb0aca70/250x250-000000-80-0-0.jpg,2535852651
brazil,indie rock,coincidência,key vs. locket,10.0,https://cdn-images.dzcdn.net/images/cover/2b2cbbc9f3813eac8ec89451c5fcc746/250x250-000000-80-0-0.jpg,3237608971
brazil,indie rock,alarmes de incêndio,def,8.0,https://cdn-images.dzcdn.net/images/cover/0125d21d0db65a21c726be9783ff2af7/250x250-000000-80-0-0.jpg,3246635601
brunei,indie rock,i don't want to go home,guerilla orchestra,7.0,https://cdn-images.dzcdn.net/images/cover/4a35037c42f57a1de58321df1b042aee/250x250-000000-80-0-0.jpg,2287278497
bulgaria,alt rock,do mene e mayka ti,TDK,7.5,https://cdn-images.dzcdn.net/images/cover/441c368c90e7f69fca6b39fe9766c6c3/250x250-000000-80-0-0.jpg,3188501761
cambodia,folk rock,black hair,kampot playboys,7.0,https://cdn-images.dzcdn.net/images/cover/5a60e7c46652c2ae6c6d342cfe5d0d70/250x250-000000-80-0-0.jpg,508332202
canada,alt rock,le metronome,malajube,10.0,https://cdn-images.dzcdn.net/images/cover/fe68f84330e325d3baa912726414972e/250x250-000000-80-0-0.jpg,65802926
canada,indie rock,annie (pourquoi t'es partie?),babylones,8.0,https://cdn-images.dzcdn.net/images/cover/7903e432cffb023f98efd8f1bc37c4f0/250x250-000000-80-0-0.jpg,1409430952
canada,indie rock,glu (coule sur moi),zen bamboo,9.7,https://cdn-images.dzcdn.net/images/cover/50516c98f42c43dd260cbdb2df925ef4/250x250-000000-80-0-0.jpg,1036938222
canada,alt rock,montreal -40,malajube,9.5,https://cdn-images.dzcdn.net/images/cover/b181d6b08412d1a1bc99e4cac1b65e96/250x250-000000-80-0-0.jpg,65802831
canada,alt rock,ah ouin,chocolat,7.0,https://cdn-images.dzcdn.net/images/cover/96b7a0f69af870daf2dbdb3f7b300c54/250x250-000000-80-0-0.jpg,1343247212
canada,alt rock,pate filo,malajube,8.0,https://cdn-images.dzcdn.net/images/cover/b181d6b08412d1a1bc99e4cac1b65e96/250x250-000000-80-0-0.jpg,65802832
canada,experimental rock,fleur de londres,violett pi,7.0,https://cdn-images.dzcdn.net/images/cover/491285900cebeed38ff551a3b1b3752d/250x250-000000-80-0-0.jpg,1409606112
canada,alt rock,la monogamie,malajube,8.0,https://cdn-images.dzcdn.net/images/cover/b181d6b08412d1a1bc99e4cac1b65e96/250x250-000000-80-0-0.jpg,65802834
cabo verde,indie rock,sinti alive,krad,6.9,https://cdn-images.dzcdn.net/images/cover/213657fd4f02d3a0319fe5c42e17c9c5/250x250-000000-80-0-0.jpg,1134085402
chile,math rock,resonancias,herbario,7.0,https://cdn-images.dzcdn.net/images/cover/5075d8de02822b530688e3b0627f852f/250x250-000000-80-0-0.jpg,1284736202
chile,rock,el viaje,coni lewin,7.5,https://cdn-images.dzcdn.net/images/cover/01a95bcae6bf14e5366c328eb3cee6df/250x250-000000-80-0-0.jpg,361068871
chile,noise rock,desaparacen (dias sin placer),el purpurado de charol,7.0,,
china,noise rock,disco,riot in school,8.0,,
china,alternative,光,arches,7.0,,
china,shoegaze,i just want 2 hear your voice...,strawberry lust,7.0,https://cdn-images.dzcdn.net/images/cover/54285ed278079fc3f9ec36d98560a946/250x250-000000-80-0-0.jpg,3155660381
colombia,emo,become,the hall effect,7.0,https://cdn-images.dzcdn.net/images/cover/ee9cdfc3b14ed0ff449dc36452af9344/250x250-000000-80-0-0.jpg,1714307417
costa rica,shoegaze,cuarto rosa,sway,7.0,https://cdn-images.dzcdn.net/images/cover/d04fb2841f11324620fdacf822350d05/250x250-000000-80-0-0.jpg,427673392
croatia,psychedelic rock,meke ruke,cuvarkuca,7.0,https://cdn-images.dzcdn.net/images/cover/b77bb5e3f16386fc2798ec1292d9ac7b/250x250-000000-80-0-0.jpg,1734730577
croatia,rock,bez tebe,detour,8.0,https://cdn-images.dzcdn.net/images/cover/9d53b91872b62fa6bbdd5d1cb02d3b48/250x250-000000-80-0-0.jpg,592461612
czechia,experimental rock,sign n spell,here,7.0,https://cdn-images.dzcdn.net/images/cover/b82b7615d3eeb998417ffa12489d94b3/250x250-000000-80-0-0.jpg,61261440
cuba,shoegaze,no te veo,land whales,8.7,https://cdn-images.dzcdn.net/images/cover/1e424e53d1b4f9e808a0ebba4ae7a1e7/250x250-000000-80-0-0.jpg,2097286837
